amount,amount_ratio_to_typical,amount_zscore,is_new_device,is_new_payment_method,is_unusual_hour,hour_sin,hour_cos,recent_failed_count,customer_fail_ratio,velocity_1h,velocity_24h,secs_since_last_log,device_shared_count,is_risky,event_ts
1447.82,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1765950516.407473
454.59,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1765957051.363018
839.18,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,0,1766184695.795459
2364.05,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1766224717.345979
685.27,0.473,0.0,1,1,0,0.2588,-0.9659,0,0.0,0,0,12.54,0,0,1766229724.267634
1305.48,1.556,0.0,1,1,0,-0.9659,0.2588,0,0.0,0,1,11.307,0,0,1766266102.947038
2119.17,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1766281676.045477
1682.39,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766352388.748461
827.94,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766353903.233335
962.69,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1766425035.358686
1847.7,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766446224.12516
1319.96,0.623,0.0,1,0,0,-0.2588,-0.9659,0,0.0,0,0,12.387,0,0,1766521259.665333
1449.17,1.75,0.0,1,1,0,-0.866,-0.5,0,0.0,0,0,12.031,0,0,1766521762.548207
358.28,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1766533898.309032
1536.17,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1766541048.578186
2364.68,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766545708.939476
1018.91,0.431,0.0,1,1,0,-0.866,-0.5,0,0.0,0,0,12.764,0,0,1766574285.64953
443.37,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1766580087.878288
1799.79,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1766592040.185838
1812.57,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766625193.496795
1860.61,1.007,0.0,1,1,0,-0.5,-0.866,0,0.0,0,0,12.328,0,0,1766672148.742196
926.11,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1766697089.370215
978.93,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1766766237.003564
1947.17,5.435,0.0,1,1,0,0.2588,-0.9659,0,0.0,0,0,12.379,0,0,1766771752.046812
1625.77,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1766784858.990354
423.43,0.26,0.0,1,0,0,0.5,-0.866,0,0.0,0,1,10.081,0,0,1766808740.035561
1649.76,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1766810894.293283
2285.69,2.008,3.693,1,0,0,-1.0,-0.0,0,0.0,0,0,12.699,0,0,1766849187.670259
538.5,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1766884060.408553
690.3,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1766917957.569481
983.28,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1766932676.978335
1141.8,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1766954047.803935
1175.27,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1766981109.443151
1962.97,1.67,0.0,1,0,0,-0.866,-0.5,0,0.0,0,1,8.378,0,0,1766985458.842365
865.04,1.903,0.0,1,1,0,-0.7071,0.7071,0,0.0,0,0,13.852,0,0,1766993975.919219
1837.43,1.171,0.681,1,1,0,-0.9659,0.2588,0,0.0,0,2,10.86,0,0,1767037487.082667
1887.31,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767047491.634982
2197.29,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767052861.256391
421.17,0.232,0.0,1,1,0,-1.0,-0.0,0,0.0,0,0,12.983,0,0,1767060242.979687
1462.51,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767063614.467527
1965.19,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767074512.634047
416.98,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767076993.972554
2038.07,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767094053.799667
692.17,0.352,0.0,1,1,0,0.7071,-0.7071,0,0.0,0,1,10.527,0,0,1767111805.924397
455.41,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767118816.8349
1406.78,0.782,0.0,1,1,0,0.5,-0.866,0,0.0,0,0,13.251,0,0,1767160636.028336
927.72,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767171204.062169
1120.25,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767191394.260542
1257.64,1.279,0.0,1,1,0,0.7071,-0.7071,0,0.0,0,0,12.477,0,0,1767194944.419996
2478.41,1.313,0.0,1,1,0,-0.7071,0.7071,0,0.0,0,0,11.946,0,0,1767201730.302901
1917.06,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767205879.848374
2924.7,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767206235.864378
640.93,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767206331.4989
6334.03,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767208266.498327
269.65,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767209507.466813
174.12,0.646,0.0,0,0,0,-0.2588,0.9659,0,0.0,1,1,7.15,0,1,1767210780.982643
522.26,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767210957.405081
322.42,1.0,0.0,0,0,0,1.0,0.0,0,0.0,0,0,14.768,0,0,1767211087.424905
940.98,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767211386.703664
837.95,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767211551.287902
4163.58,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767211818.046954
653.36,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767213123.444969
291.04,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767213673.057452
399.94,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767214190.911054
3008.43,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767215218.839515
2127.11,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767216046.445761
22331.4,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767216179.611914
25165.77,1.127,0.0,0,0,0,-0.2588,0.9659,0,0.0,1,1,5.95,0,1,1767216562.412448
22199.36,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,0,1767217463.811064
270.13,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767217830.505088
1115.44,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767218011.785751
170.35,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767218190.29981
14980.39,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767218295.985445
637.84,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767218383.824811
1110.0,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767219163.154428
2918.78,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767219427.515268
2478.07,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767219749.832828
256.32,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767219833.051299
2382.65,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767220042.171933
1833.67,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767220080.617082
867.06,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767220546.986533
3359.82,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767220648.40819
755.24,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,1,0,1767220807.877844
